Ticker
MMM
AOS
ABT
ABBV
GRMN
ACN
GOOG
ADM
ADBE
AAP
AMD
AES
AFL
A
APD
AKAM
ALK
ALB
ARE
ALGN
ALLE
LNT
ALL
GOOGL
GOOG
MO
AMZN
AMCR
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
HLT
AME
AMGN
APH
ADI
JKHY
LYB
AON
APA
AAPL
AMAT
APTV
ANET
